,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
929,"Hodgeman County, Kansas",20083,80.05,KS-Hodgeman County,"14,059 ","17,570 "
930,"Jackson County, Kansas",20085,78.70,KS-Jackson County,"8,445 ","9,392 "
931,"Jefferson County, Kansas",20087,78.92,KS-Jefferson County,"8,137 ","8,785 "
932,"Jewell County, Kansas",20089,79.99,KS-Jewell County,"12,051 ","12,579 "
933,"Johnson County, Kansas",20091,81.70,KS-Johnson County,"9,298 ","10,065 "
934,"Kearny County, Kansas",20093,77.66,KS-Kearny County,"11,422 ","11,697 "
935,"Kingman County, Kansas",20095,78.63,KS-Kingman County,"9,894 ","11,525 "
936,"Kiowa County, Kansas",20097,79.29,KS-Kiowa County,"9,206 ","8,446 "
937,"Labette County, Kansas",20099,76.27,KS-Labette County,"9,077 ","10,250 "
938,"Lane County, Kansas",20101,78.22,KS-Lane County,"13,300 ","13,198 "
939,"Leavenworth County, Kansas",20103,78.92,KS-Leavenworth County,"9,567 ","10,435 "
940,"Lincoln County, Kansas",20105,79.20,KS-Lincoln County,"12,725 ","14,167 "
941,"Linn County, Kansas",20107,77.57,KS-Linn County,"9,058 ","9,864 "
942,"Logan County, Kansas",20109,78.67,KS-Logan County,"12,462 ","14,053 "
943,"Lyon County, Kansas",20111,78.91,KS-Lyon County,"9,369 ","10,285 "
944,"Marion County, Kansas",20115,79.35,KS-Marion County,"8,695 ","9,747 "
945,"Marshall County, Kansas",20117,80.23,KS-Marshall County,"9,436 ","11,646 "
946,"McPherson County, Kansas",20113,79.26,KS-McPherson County,"8,393 ","9,259 "
947,"Meade County, Kansas",20119,79.24,KS-Meade County,"9,131 ","9,256 "
948,"Miami County, Kansas",20121,78.97,KS-Miami County,"8,683 ","9,518 "
949,"Mitchell County, Kansas",20123,79.12,KS-Mitchell County,"8,812 ","11,053 "
950,"Montgomery County, Kansas",20125,76.26,KS-Montgomery County,"8,353 ","9,588 "
951,"Morris County, Kansas",20127,79.85,KS-Morris County,"9,211 ","10,151 "
952,"Morton County, Kansas",20129,77.79,KS-Morton County,"11,114 ","11,935 "
953,"Nemaha County, Kansas",20131,80.23,KS-Nemaha County,"8,759 ","9,799 "
954,"Neosho County, Kansas",20133,77.32,KS-Neosho County,"10,548 ","11,729 "
955,"Ness County, Kansas",20135,79.38,KS-Ness County,"10,977 ","11,172 "
956,"Norton County, Kansas",20137,79.46,KS-Norton County,"8,840 ","9,603 "
957,"Osage County, Kansas",20139,77.67,KS-Osage County,"8,572 ","9,617 "
958,"Osborne County, Kansas",20141,79.24,KS-Osborne County,"9,867 ","11,721 "
959,"Ottawa County, Kansas",20143,78.15,KS-Ottawa County,"8,642 ","9,272 "
960,"Pawnee County, Kansas",20145,78.82,KS-Pawnee County,"13,428 ","13,665 "
961,"Phillips County, Kansas",20147,78.37,KS-Phillips County,"13,494 ","14,058 "
962,"Pottawatomie County, Kansas",20149,79.64,KS-Pottawatomie County,"9,802 ","10,704 "
963,"Pratt County, Kansas",20151,78.39,KS-Pratt County,"9,153 ","9,704 "
964,"Rawlins County, Kansas",20153,80.14,KS-Rawlins County,"13,205 ","13,682 "
965,"Reno County, Kansas",20155,78.40,KS-Reno County,"8,851 ","9,622 "
966,"Republic County, Kansas",20157,79.53,KS-Republic County,"8,560 ","9,670 "
967,"Rice County, Kansas",20159,77.43,KS-Rice County,"9,720 ","10,278 "
968,"Riley County, Kansas",20161,81.46,KS-Riley County,"8,062 ","9,072 "
969,"Rooks County, Kansas",20163,78.51,KS-Rooks County,"10,158 ","10,802 "
970,"Rush County, Kansas",20165,79.29,KS-Rush County,"8,963 ","9,946 "
971,"Russell County, Kansas",20167,78.91,KS-Russell County,"9,909 ","11,667 "
972,"Saline County, Kansas",20169,78.53,KS-Saline County,"8,584 ","9,610 "
973,"Scott County, Kansas",20171,78.37,KS-Scott County,"11,974 ","13,680 "
974,"Sedgwick County, Kansas",20173,77.65,KS-Sedgwick County,"8,809 ","9,640 "
975,"Seward County, Kansas",20175,78.38,KS-Seward County,"9,293 ","9,401 "
976,"Shawnee County, Kansas",20177,77.75,KS-Shawnee County,"8,735 ","9,826 "
977,"Sheridan County, Kansas",20179,80.00,KS-Sheridan County,"16,262 ","17,948 "
978,"Sherman County, Kansas",20181,78.33,KS-Sherman County,"12,535 ","13,413 "
979,"Smith County, Kansas",20183,79.57,KS-Smith County,"11,055 ","13,407 "
980,"Stafford County, Kansas",20185,77.86,KS-Stafford County,"8,596 ","9,153 "
981,"Stanton County, Kansas",20187,78.63,KS-Stanton County,"11,517 ","11,092 "
982,"Stevens County, Kansas",20189,79.00,KS-Stevens County,"11,062 ","10,735 "
983,"Sumner County, Kansas",20191,77.25,KS-Sumner County,"7,901 ","8,541 "
984,"Thomas County, Kansas",20193,79.30,KS-Thomas County,"11,227 ","12,152 "
985,"Trego County, Kansas",20195,78.66,KS-Trego County,"14,170 ","19,397 "
986,"Wabaunsee County, Kansas",20197,79.10,KS-Wabaunsee County,"7,959 ","8,830 "
987,"Wallace County, Kansas",20199,79.47,KS-Wallace County,"11,981 ","13,433 "
988,"Washington County, Kansas",20201,80.34,KS-Washington County,"10,139 ","12,057 "
989,"Wichita County, Kansas",20203,79.30,KS-Wichita County,"14,476 ","12,890 "
990,"Wilson County, Kansas",20205,76.36,KS-Wilson County,"11,093 ","12,258 "
991,"Woodson County, Kansas",20207,76.91,KS-Woodson County,"9,295 ","10,224 "
992,"Wyandotte County, Kansas",20209,75.35,KS-Wyandotte County,"10,113 ","11,099 "
993,"Adair County, Kentucky",21001,76.84,KY-Adair County,"9,641 ","11,253 "
994,"Allen County, Kentucky",21003,75.88,KY-Allen County,"10,129 ","12,874 "
995,"Anderson County, Kentucky",21005,77.24,KY-Anderson County,"9,202 ","10,097 "
996,"Ballard County, Kentucky",21007,75.74,KY-Ballard County,"8,673 ","10,143 "
997,"Barren County, Kentucky",21009,76.33,KY-Barren County,"9,341 ","10,744 "
998,"Bath County, Kentucky",21011,74.56,KY-Bath County,"9,789 ","10,943 "
999,"Bell County, Kentucky",21013,72.72,KY-Bell County,"10,800 ","12,252 "
1000,"Boone County, Kentucky",21015,78.90,KY-Boone County,"10,606 ","11,229 "
1001,"Bourbon County, Kentucky",21017,76.95,KY-Bourbon County,"7,748 ","8,471 "
1002,"Boyd County, Kentucky",21019,76.01,KY-Boyd County,"10,504 ","11,721 "
1003,"Boyle County, Kentucky",21021,77.02,KY-Boyle County,"8,556 ","9,505 "
1004,"Bracken County, Kentucky",21023,75.19,KY-Bracken County,"10,864 ","11,696 "
1005,"Breathitt County, Kentucky",21025,70.22,KY-Breathitt County,"11,491 ","12,486 "
1006,"Breckinridge County, Kentucky",21027,76.20,KY-Breckinridge County,"9,275 ","11,689 "
1007,"Bullitt County, Kentucky",21029,78.56,KY-Bullitt County,"10,643 ","11,765 "
1008,"Butler County, Kentucky",21031,75.80,KY-Butler County,"9,961 ","11,374 "
1009,"Caldwell County, Kentucky",21033,75.39,KY-Caldwell County,"8,241 ","9,664 "
1010,"Calloway County, Kentucky",21035,77.42,KY-Calloway County,"8,421 ","9,972 "
1011,"Campbell County, Kentucky",21037,77.56,KY-Campbell County,"10,765 ","11,431 "
1012,"Carlisle County, Kentucky",21039,76.62,KY-Carlisle County,"8,668 ","10,014 "
1013,"Carroll County, Kentucky",21041,74.19,KY-Carroll County,"10,498 ","11,777 "
1014,"Carter County, Kentucky",21043,74.99,KY-Carter County,"9,238 ","10,438 "
1015,"Casey County, Kentucky",21045,75.14,KY-Casey County,"11,149 ","13,514 "
1016,"Christian County, Kentucky",21047,75.57,KY-Christian County,"8,788 ","10,098 "
1017,"Clark County, Kentucky",21049,75.77,KY-Clark County,"9,394 ","9,984 "
1018,"Clay County, Kentucky",21051,71.78,KY-Clay County,"11,568 ","12,256 "
1019,"Clinton County, Kentucky",21053,74.15,KY-Clinton County,"10,725 ","12,205 "
1020,"Crittenden County, Kentucky",21055,75.14,KY-Crittenden County,"9,874 ","12,132 "
1021,"Cumberland County, Kentucky",21057,74.05,KY-Cumberland County,"12,661 ","15,407 "
1022,"Daviess County, Kentucky",21059,77.58,KY-Daviess County,"9,401 ","10,171 "
1023,"Edmonson County, Kentucky",21061,77.59,KY-Edmonson County,"10,685 ","12,242 "
1024,"Elliott County, Kentucky",21063,75.60,KY-Elliott County,"10,258 ","11,222 "
1025,"Estill County, Kentucky",21065,73.23,KY-Estill County,"8,913 ","10,472 "
1026,"Fayette County, Kentucky",21067,78.40,KY-Fayette County,"8,834 ","9,448 "
1027,"Fleming County, Kentucky",21069,74.47,KY-Fleming County,"9,908 ","10,821 "
1028,"Floyd County, Kentucky",21071,71.97,KY-Floyd County,"12,733 ","13,764 "
1029,"Franklin County, Kentucky",21073,77.02,KY-Franklin County,"12,637 ","13,972 "
1030,"Fulton County, Kentucky",21075,72.93,KY-Fulton County,"10,374 ","12,108 "
1031,"Gallatin County, Kentucky",21077,73.25,KY-Gallatin County,"12,540 ","13,547 "
1032,"Garrard County, Kentucky",21079,77.56,KY-Garrard County,"8,478 ","9,522 "
