,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
332,12027,15596.0,30.5,15.0,29.4,79.71
333,12029,16954.0,18.9,24.1,20.9,74.79
334,12031,26267.0,17.4,12.7,11.6,76.74
335,12033,24014.0,17.1,15.1,11.5,76.33
336,12035,24393.0,16.4,16.5,10.2,79.67
337,12037,20287.0,23.0,23.3,21.6,76.5
338,12039,18101.0,27.2,16.5,23.0,74.87
339,12041,20536.0,24.9,22.1,19.3,76.8
340,12043,16799.0,24.3,19.5,24.0,79.75
341,12045,19411.0,16.4,19.8,20.4,76.4
342,12047,15012.0,28.6,23.9,23.8,75.92
343,12049,15783.0,30.8,11.1,34.7,78.51
344,12051,16381.0,26.8,14.9,34.3,77.29
345,12053,21245.0,16.0,19.2,13.4,77.6
346,12055,20455.0,19.2,19.2,18.4,79.07
347,12057,27532.0,17.2,11.7,12.9,78.55
348,12059,16946.0,26.6,23.6,24.3,74.74
349,12061,31089.0,15.4,15.8,12.8,79.96
350,12063,17611.0,21.3,21.6,21.2,76.17
351,12065,20972.0,17.1,18.8,19.9,76.72
352,12067,18125.0,23.5,19.0,24.4,77.05
353,12069,24103.0,14.3,15.2,13.1,79.03
354,12071,27578.0,16.0,13.7,13.1,80.98
355,12073,26486.0,23.7,9.6,7.9,79.35
356,12075,19655.0,24.0,21.4,19.2,75.43
357,12077,16928.0,20.1,20.6,25.0,76.13
358,12079,15664.0,22.2,21.7,20.6,75.35
359,12081,27948.0,14.9,13.4,12.3,80.36
360,12083,21752.0,18.3,17.6,14.7,77.45
361,12085,35183.0,12.0,14.7,11.0,81.16
362,12086,23433.0,20.5,10.3,20.5,80.9
363,12087,34424.0,13.9,13.3,9.6,78.85
364,12089,29321.0,12.6,15.2,10.5,77.83
365,12091,29082.0,13.7,13.9,9.0,78.38
366,12093,18087.0,27.9,16.3,31.3,76.09
367,12095,25052.0,17.8,9.9,12.7,79.86
368,12097,18996.0,18.3,14.0,15.8,79.24
369,12099,33072.0,14.6,11.7,12.3,81.24
370,12101,24076.0,14.3,16.2,12.5,77.7
371,12103,29617.0,14.3,14.6,10.6,78.89
372,12105,21157.0,18.5,15.0,16.9,77.96
373,12107,18587.0,26.5,16.6,22.7,74.85
374,12109,37147.0,9.7,10.7,6.2,80.69
